dteday,season,yr,mnth,holiday,weekday,weathersit,casual,registered,cnt
2012-01-02,springer,1,1,1,1,1,244,1707,1951
2012-01-03,springer,1,1,0,2,1,89,2147,2236
2012-01-04,springer,1,1,0,3,2,95,2273,2368
2012-01-05,springer,1,1,0,4,1,140,3132,3272
2012-01-06,springer,1,1,0,5,1,307,3791,4098
2012-01-07,springer,1,1,0,6,1,1070,3451,4521
2012-01-08,springer,1,1,0,0,1,599,2826,3425
2012-01-09,springer,1,1,0,1,2,106,2270,2376
2012-01-10,springer,1,1,0,2,1,173,3425,3598
2012-01-11,springer,1,1,0,3,2,92,2085,2177
2012-01-12,springer,1,1,0,4,2,269,3828,4097
2012-01-13,springer,1,1,0,5,1,174,3040,3214
2012-01-14,springer,1,1,0,6,1,333,2160,2493
2012-01-15,springer,1,1,0,0,1,284,2027,2311
2012-01-16,springer,1,1,1,1,1,217,2081,2298
2012-01-17,springer,1,1,0,2,2,127,2808,2935
2012-01-18,springer,1,1,0,3,1,109,3267,3376
2012-01-19,springer,1,1,0,4,1,130,3162,3292
2012-01-20,springer,1,1,0,5,2,115,3048,3163
2012-01-21,springer,1,1,0,6,2,67,1234,1301
2012-01-22,springer,1,1,0,0,2,196,1781,1977
2012-01-23,springer,1,1,0,1,2,145,2287,2432
2012-01-24,springer,1,1,0,2,1,439,3900,4339
2012-01-25,springer,1,1,0,3,1,467,3803,4270
2012-01-26,springer,1,1,0,4,2,244,3831,4075
2012-01-27,springer,1,1,0,5,2,269,3187,3456
2012-01-28,springer,1,1,0,6,1,775,3248,4023
2012-01-29,springer,1,1,0,0,1,558,2685,3243
2012-01-30,springer,1,1,0,1,1,126,3498,3624
2012-01-31,springer,1,1,0,2,1,324,4185,4509
2012-02-01,springer,1,2,0,3,1,304,4275,4579
2012-02-02,springer,1,2,0,4,2,190,3571,3761
2012-02-03,springer,1,2,0,5,1,310,3841,4151
2012-02-04,springer,1,2,0,6,2,384,2448,2832
2012-02-05,springer,1,2,0,0,2,318,2629,2947
2012-02-06,springer,1,2,0,1,1,206,3578,3784
2012-02-07,springer,1,2,0,2,1,199,4176,4375
2012-02-08,springer,1,2,0,3,2,109,2693,2802
2012-02-09,springer,1,2,0,4,1,163,3667,3830
2012-02-10,springer,1,2,0,5,2,227,3604,3831
2012-02-11,springer,1,2,0,6,3,192,1977,2169
2012-02-12,springer,1,2,0,0,1,73,1456,1529
2012-02-13,springer,1,2,0,1,1,94,3328,3422
2012-02-14,springer,1,2,0,2,2,135,3787,3922
2012-02-15,springer,1,2,0,3,1,141,4028,4169
2012-02-16,springer,1,2,0,4,2,74,2931,3005
2012-02-17,springer,1,2,0,5,1,349,3805,4154
2012-02-18,springer,1,2,0,6,1,1435,2883,4318
2012-02-19,springer,1,2,0,0,2,618,2071,2689
2012-02-20,springer,1,2,1,1,1,502,2627,3129
2012-02-21,springer,1,2,0,2,1,163,3614,3777
2012-02-22,springer,1,2,0,3,1,394,4379,4773
2012-02-23,springer,1,2,0,4,1,516,4546,5062
2012-02-24,springer,1,2,0,5,2,246,3241,3487
2012-02-25,springer,1,2,0,6,1,317,2415,2732
2012-02-26,springer,1,2,0,0,1,515,2874,3389
2012-02-27,springer,1,2,0,1,1,253,4069,4322
2012-02-28,springer,1,2,0,2,1,229,4134,4363
2012-02-29,springer,1,2,0,3,2,65,1769,1834
2012-03-01,springer,1,3,0,4,1,325,4665,4990
2012-03-02,springer,1,3,0,5,2,246,2948,3194
2012-03-03,springer,1,3,0,6,2,956,3110,4066
2012-03-04,springer,1,3,0,0,1,710,2713,3423
2012-03-05,springer,1,3,0,1,1,203,3130,3333
2012-03-06,springer,1,3,0,2,1,221,3735,3956
2012-03-07,springer,1,3,0,3,1,432,4484,4916
2012-03-08,springer,1,3,0,4,1,486,4896,5382
2012-03-09,springer,1,3,0,5,2,447,4122,4569
2012-03-10,springer,1,3,0,6,1,968,3150,4118
2012-03-11,springer,1,3,0,0,1,1658,3253,4911
2012-03-12,springer,1,3,0,1,1,838,4460,5298
2012-03-13,springer,1,3,0,2,1,762,5085,5847
2012-03-14,springer,1,3,0,3,1,997,5315,6312
2012-03-15,springer,1,3,0,4,1,1005,5187,6192
2012-03-16,springer,1,3,0,5,2,548,3830,4378
2012-03-17,springer,1,3,0,6,2,3155,4681,7836
2012-03-18,springer,1,3,0,0,2,2207,3685,5892
2012-03-19,springer,1,3,0,1,1,982,5171,6153
2012-03-20,springer,1,3,0,2,1,1051,5042,6093
2012-03-21,summer,1,3,0,3,2,1122,5108,6230
2012-03-22,summer,1,3,0,4,1,1334,5537,6871
2012-03-23,summer,1,3,0,5,2,2469,5893,8362
2012-03-24,summer,1,3,0,6,2,1033,2339,3372
2012-03-25,summer,1,3,0,0,2,1532,3464,4996
2012-03-26,summer,1,3,0,1,1,795,4763,5558
2012-03-27,summer,1,3,0,2,1,531,4571,5102
2012-03-28,summer,1,3,0,3,1,674,5024,5698
2012-03-29,summer,1,3,0,4,1,834,5299,6133
2012-03-30,summer,1,3,0,5,2,796,4663,5459
2012-03-31,summer,1,3,0,6,2,2301,3934,6235
2012-04-01,summer,1,4,0,0,2,2347,3694,6041
2012-04-02,summer,1,4,0,1,1,1208,4728,5936
2012-04-03,summer,1,4,0,2,1,1348,5424,6772
2012-04-04,summer,1,4,0,3,1,1058,5378,6436
2012-04-05,summer,1,4,0,4,1,1192,5265,6457
2012-04-06,summer,1,4,0,5,1,1807,4653,6460
2012-04-07,summer,1,4,0,6,1,3252,3605,6857
2012-04-08,summer,1,4,0,0,1,2230,2939,5169
2012-04-09,summer,1,4,0,1,1,905,4680,5585
2012-04-10,summer,1,4,0,2,1,819,5099,5918
2012-04-11,summer,1,4,0,3,1,482,4380,4862
2012-04-12,summer,1,4,0,4,1,663,4746,5409
2012-04-13,summer,1,4,0,5,1,1252,5146,6398
2012-04-14,summer,1,4,0,6,1,2795,4665,7460
2012-04-15,summer,1,4,0,0,1,2846,4286,7132
2012-04-16,summer,1,4,1,1,1,1198,5172,6370
2012-04-17,summer,1,4,0,2,1,989,5702,6691
2012-04-18,summer,1,4,0,3,2,347,4020,4367
2012-04-19,summer,1,4,0,4,1,846,5719,6565
2012-04-20,summer,1,4,0,5,1,1340,5950,7290
2012-04-21,summer,1,4,0,6,1,2541,4083,6624
2012-04-22,summer,1,4,0,0,3,120,907,1027
2012-04-23,summer,1,4,0,1,2,195,3019,3214
2012-04-24,summer,1,4,0,2,1,518,5115,5633
2012-04-25,summer,1,4,0,3,1,655,5541,6196
2012-04-26,summer,1,4,0,4,2,475,4551,5026
2012-04-27,summer,1,4,0,5,1,1014,5219,6233
2012-04-28,summer,1,4,0,6,2,1120,3100,4220
2012-04-29,summer,1,4,0,0,1,2229,4075,6304
2012-04-30,summer,1,4,0,1,2,665,4907,5572
2012-05-01,summer,1,5,0,2,2,653,5087,5740
2012-05-02,summer,1,5,0,3,1,667,5502,6169
2012-05-03,summer,1,5,0,4,2,764,5657,6421
2012-05-04,summer,1,5,0,5,1,1069,5227,6296
2012-05-05,summer,1,5,0,6,2,2496,4387,6883
2012-05-06,summer,1,5,0,0,2,2135,4224,6359
2012-05-07,summer,1,5,0,1,2,1008,5265,6273
2012-05-08,summer,1,5,0,2,2,738,4990,5728
2012-05-09,summer,1,5,0,3,2,620,4097,4717
2012-05-10,summer,1,5,0,4,1,1026,5546,6572
2012-05-11,summer,1,5,0,5,1,1319,5711,7030
2012-05-12,summer,1,5,0,6,1,2622,4807,7429
2012-05-13,summer,1,5,0,0,1,2172,3946,6118
2012-05-14,summer,1,5,0,1,2,342,2501,2843
2012-05-15,summer,1,5,0,2,2,625,4490,5115
2012-05-16,summer,1,5,0,3,1,991,6433,7424
2012-05-17,summer,1,5,0,4,1,1242,6142,7384
2012-05-18,summer,1,5,0,5,1,1521,6118,7639
2012-05-19,summer,1,5,0,6,1,3410,4884,8294
2012-05-20,summer,1,5,0,0,1,2704,4425,7129
2012-05-21,summer,1,5,0,1,2,630,3729,4359
2012-05-22,summer,1,5,0,2,2,819,5254,6073
2012-05-23,summer,1,5,0,3,2,766,4494,5260
2012-05-24,summer,1,5,0,4,1,1059,5711,6770
2012-05-25,summer,1,5,0,5,1,1417,5317,6734
2012-05-26,summer,1,5,0,6,1,2855,3681,6536
2012-05-27,summer,1,5,0,0,1,3283,3308,6591
2012-05-28,summer,1,5,1,1,1,2557,3486,6043
2012-05-29,summer,1,5,0,2,1,880,4863,5743
2012-05-30,summer,1,5,0,3,2,745,6110,6855
2012-05-31,summer,1,5,0,4,1,1100,6238,7338
2012-06-01,summer,1,6,0,5,2,533,3594,4127
2012-06-02,summer,1,6,0,6,1,2795,5325,8120
2012-06-03,summer,1,6,0,0,1,2494,5147,7641
2012-06-04,summer,1,6,0,1,1,1071,5927,6998
2012-06-05,summer,1,6,0,2,2,968,6033,7001
2012-06-06,summer,1,6,0,3,1,1027,6028,7055
2012-06-07,summer,1,6,0,4,1,1038,6456,7494
2012-06-08,summer,1,6,0,5,1,1488,6248,7736
2012-06-09,summer,1,6,0,6,1,2708,4790,7498
2012-06-10,summer,1,6,0,0,1,2224,4374,6598
2012-06-11,summer,1,6,0,1,2,1017,5647,6664
2012-06-12,summer,1,6,0,2,2,477,4495,4972
2012-06-13,summer,1,6,0,3,1,1173,6248,7421
2012-06-14,summer,1,6,0,4,1,1180,6183,7363
2012-06-15,summer,1,6,0,5,1,1563,6102,7665
2012-06-16,summer,1,6,0,6,1,2963,4739,7702
2012-06-17,summer,1,6,0,0,1,2634,4344,6978
2012-06-18,summer,1,6,0,1,2,653,4446,5099
2012-06-19,summer,1,6,0,2,1,968,5857,6825
2012-06-20,summer,1,6,0,3,1,872,5339,6211
2012-06-21,fall,1,6,0,4,1,778,5127,5905
2012-06-22,fall,1,6,0,5,1,964,4859,5823
2012-06-23,fall,1,6,0,6,1,2657,4801,7458
2012-06-24,fall,1,6,0,0,1,2551,4340,6891
2012-06-25,fall,1,6,0,1,1,1139,5640,6779
2012-06-26,fall,1,6,0,2,1,1077,6365,7442
2012-06-27,fall,1,6,0,3,1,1077,6258,7335
2012-06-28,fall,1,6,0,4,1,921,5958,6879
2012-06-29,fall,1,6,0,5,1,829,4634,5463
2012-06-30,fall,1,6,0,6,1,1455,4232,5687
2012-07-01,fall,1,7,0,0,1,1421,4110,5531
2012-07-02,fall,1,7,0,1,1,904,5323,6227
2012-07-03,fall,1,7,0,2,1,1052,5608,6660
2012-07-04,fall,1,7,1,3,1,2562,4841,7403
2012-07-05,fall,1,7,0,4,1,1405,4836,6241
2012-07-06,fall,1,7,0,5,1,1366,4841,6207
2012-07-07,fall,1,7,0,6,1,1448,3392,4840
2012-07-08,fall,1,7,0,0,1,1203,3469,4672
2012-07-09,fall,1,7,0,1,2,998,5571,6569
2012-07-10,fall,1,7,0,2,2,954,5336,6290
2012-07-11,fall,1,7,0,3,1,975,6289,7264
2012-07-12,fall,1,7,0,4,1,1032,6414,7446
2012-07-13,fall,1,7,0,5,2,1511,5988,7499
2012-07-14,fall,1,7,0,6,2,2355,4614,6969
2012-07-15,fall,1,7,0,0,1,1920,4111,6031
2012-07-16,fall,1,7,0,1,1,1088,5742,6830
2012-07-17,fall,1,7,0,2,1,921,5865,6786
2012-07-18,fall,1,7,0,3,1,799,4914,5713
2012-07-19,fall,1,7,0,4,1,888,5703,6591
2012-07-20,fall,1,7,0,5,2,747,5123,5870
2012-07-21,fall,1,7,0,6,3,1264,3195,4459
2012-07-22,fall,1,7,0,0,2,2544,4866,7410
2012-07-23,fall,1,7,0,1,1,1135,5831,6966
2012-07-24,fall,1,7,0,2,1,1140,6452,7592
2012-07-25,fall,1,7,0,3,1,1383,6790,8173
2012-07-26,fall,1,7,0,4,1,1036,5825,6861
2012-07-27,fall,1,7,0,5,1,1259,5645,6904
2012-07-28,fall,1,7,0,6,1,2234,4451,6685
2012-07-29,fall,1,7,0,0,1,2153,4444,6597
2012-07-30,fall,1,7,0,1,1,1040,6065,7105
2012-07-31,fall,1,7,0,2,1,968,6248,7216
2012-08-01,fall,1,8,0,3,1,1074,6506,7580
2012-08-02,fall,1,8,0,4,1,983,6278,7261
2012-08-03,fall,1,8,0,5,2,1328,5847,7175
2012-08-04,fall,1,8,0,6,1,2345,4479,6824
2012-08-05,fall,1,8,0,0,1,1707,3757,5464
2012-08-06,fall,1,8,0,1,2,1233,5780,7013
2012-08-07,fall,1,8,0,2,2,1278,5995,7273
2012-08-08,fall,1,8,0,3,2,1263,6271,7534
2012-08-09,fall,1,8,0,4,1,1196,6090,7286
2012-08-10,fall,1,8,0,5,2,1065,4721,5786
2012-08-11,fall,1,8,0,6,2,2247,4052,6299
2012-08-12,fall,1,8,0,0,1,2182,4362,6544
2012-08-13,fall,1,8,0,1,1,1207,5676,6883
2012-08-14,fall,1,8,0,2,1,1128,5656,6784
2012-08-15,fall,1,8,0,3,1,1198,6149,7347
2012-08-16,fall,1,8,0,4,1,1338,6267,7605
2012-08-17,fall,1,8,0,5,1,1483,5665,7148
2012-08-18,fall,1,8,0,6,1,2827,5038,7865
2012-08-19,fall,1,8,0,0,2,1208,3341,4549
2012-08-20,fall,1,8,0,1,2,1026,5504,6530
2012-08-21,fall,1,8,0,2,1,1081,5925,7006
2012-08-22,fall,1,8,0,3,1,1094,6281,7375
2012-08-23,fall,1,8,0,4,1,1363,6402,7765
2012-08-24,fall,1,8,0,5,2,1325,6257,7582
2012-08-25,fall,1,8,0,6,2,1829,4224,6053
2012-08-26,fall,1,8,0,0,2,1483,3772,5255
2012-08-27,fall,1,8,0,1,1,989,5928,6917
2012-08-28,fall,1,8,0,2,1,935,6105,7040
2012-08-29,fall,1,8,0,3,1,1177,6520,7697
2012-08-30,fall,1,8,0,4,1,1172,6541,7713
2012-08-31,fall,1,8,0,5,1,1433,5917,7350
2012-09-01,fall,1,9,0,6,2,2352,3788,6140
2012-09-02,fall,1,9,0,0,2,2613,3197,5810
2012-09-03,fall,1,9,1,1,1,1965,4069,6034
2012-09-04,fall,1,9,0,2,1,867,5997,6864
2012-09-05,fall,1,9,0,3,1,832,6280,7112
2012-09-06,fall,1,9,0,4,2,611,5592,6203
2012-09-07,fall,1,9,0,5,1,1045,6459,7504
2012-09-08,fall,1,9,0,6,2,1557,4419,5976
2012-09-09,fall,1,9,0,0,1,2570,5657,8227
2012-09-10,fall,1,9,0,1,1,1118,6407,7525
2012-09-11,fall,1,9,0,2,1,1070,6697,7767
2012-09-12,fall,1,9,0,3,1,1050,6820,7870
2012-09-13,fall,1,9,0,4,1,1054,6750,7804
2012-09-14,fall,1,9,0,5,1,1379,6630,8009
2012-09-15,fall,1,9,0,6,1,3160,5554,8714
2012-09-16,fall,1,9,0,0,1,2166,5167,7333
2012-09-17,fall,1,9,0,1,2,1022,5847,6869
2012-09-18,fall,1,9,0,2,2,371,3702,4073
2012-09-19,fall,1,9,0,3,1,788,6803,7591
2012-09-20,fall,1,9,0,4,1,939,6781,7720
2012-09-21,fall,1,9,0,5,1,1250,6917,8167
2012-09-22,fall,1,9,0,6,1,2512,5883,8395
2012-09-23,winter,1,9,0,0,1,2454,5453,7907
2012-09-24,winter,1,9,0,1,1,1001,6435,7436
2012-09-25,winter,1,9,0,2,1,845,6693,7538
2012-09-26,winter,1,9,0,3,1,787,6946,7733
2012-09-27,winter,1,9,0,4,2,751,6642,7393
2012-09-28,winter,1,9,0,5,2,1045,6370,7415
2012-09-29,winter,1,9,0,6,1,2589,5966,8555
2012-09-30,winter,1,9,0,0,1,2015,4874,6889
2012-10-01,winter,1,10,0,1,2,763,6015,6778
2012-10-02,winter,1,10,0,2,3,315,4324,4639
2012-10-03,winter,1,10,0,3,2,728,6844,7572
2012-10-04,winter,1,10,0,4,2,891,6437,7328
2012-10-05,winter,1,10,0,5,1,1516,6640,8156
2012-10-06,winter,1,10,0,6,1,3031,4934,7965
2012-10-07,winter,1,10,0,0,2,781,2729,3510
2012-10-08,winter,1,10,1,1,2,874,4604,5478
2012-10-09,winter,1,10,0,2,2,601,5791,6392
2012-10-10,winter,1,10,0,3,1,780,6911,7691
2012-10-11,winter,1,10,0,4,1,834,6736,7570
2012-10-12,winter,1,10,0,5,1,1060,6222,7282
2012-10-13,winter,1,10,0,6,1,2252,4857,7109
2012-10-14,winter,1,10,0,0,1,2080,4559,6639
2012-10-15,winter,1,10,0,1,2,760,5115,5875
2012-10-16,winter,1,10,0,2,1,922,6612,7534
2012-10-17,winter,1,10,0,3,1,979,6482,7461
2012-10-18,winter,1,10,0,4,2,1008,6501,7509
2012-10-19,winter,1,10,0,5,2,753,4671,5424
2012-10-20,winter,1,10,0,6,1,2806,5284,8090
2012-10-21,winter,1,10,0,0,1,2132,4692,6824
2012-10-22,winter,1,10,0,1,1,830,6228,7058
2012-10-23,winter,1,10,0,2,1,841,6625,7466
2012-10-24,winter,1,10,0,3,1,795,6898,7693
2012-10-25,winter,1,10,0,4,2,875,6484,7359
2012-10-26,winter,1,10,0,5,2,1182,6262,7444
2012-10-27,winter,1,10,0,6,2,2643,5209,7852
2012-10-28,winter,1,10,0,0,2,998,3461,4459
2012-10-29,winter,1,10,0,1,3,2,20,22
2012-10-30,winter,1,10,0,2,2,87,1009,1096
2012-10-31,winter,1,10,0,3,2,419,5147,5566
2012-11-01,winter,1,11,0,4,2,466,5520,5986
2012-11-02,winter,1,11,0,5,1,618,5229,5847
2012-11-03,winter,1,11,0,6,2,1029,4109,5138
2012-11-04,winter,1,11,0,0,1,1201,3906,5107
2012-11-05,winter,1,11,0,1,1,378,4881,5259
2012-11-06,winter,1,11,0,2,1,466,5220,5686
2012-11-07,winter,1,11,0,3,2,326,4709,5035
2012-11-08,winter,1,11,0,4,1,340,4975,5315
2012-11-09,winter,1,11,0,5,1,709,5283,5992
2012-11-10,winter,1,11,0,6,1,2090,4446,6536
2012-11-11,winter,1,11,0,0,1,2290,4562,6852
2012-11-12,winter,1,11,1,1,1,1097,5172,6269
2012-11-13,winter,1,11,0,2,2,327,3767,4094
2012-11-14,winter,1,11,0,3,1,373,5122,5495
2012-11-15,winter,1,11,0,4,2,320,5125,5445
2012-11-16,winter,1,11,0,5,1,484,5214,5698
2012-11-17,winter,1,11,0,6,1,1313,4316,5629
2012-11-18,winter,1,11,0,0,1,922,3747,4669
2012-11-19,winter,1,11,0,1,2,449,5050,5499
2012-11-20,winter,1,11,0,2,2,534,5100,5634
2012-11-21,winter,1,11,0,3,1,615,4531,5146
2012-11-22,winter,1,11,1,4,1,955,1470,2425
2012-11-23,winter,1,11,0,5,1,1603,2307,3910
2012-11-24,winter,1,11,0,6,1,532,1745,2277
2012-11-25,winter,1,11,0,0,1,309,2115,2424
2012-11-26,winter,1,11,0,1,1,337,4750,5087
2012-11-27,winter,1,11,0,2,2,123,3836,3959
2012-11-28,winter,1,11,0,3,1,198,5062,5260
2012-11-29,winter,1,11,0,4,1,243,5080,5323
2012-11-30,winter,1,11,0,5,1,362,5306,5668
2012-12-01,winter,1,12,0,6,2,951,4240,5191
2012-12-02,winter,1,12,0,0,2,892,3757,4649
2012-12-03,winter,1,12,0,1,1,555,5679,6234
2012-12-04,winter,1,12,0,2,1,551,6055,6606
2012-12-05,winter,1,12,0,3,1,331,5398,5729
2012-12-06,winter,1,12,0,4,1,340,5035,5375
2012-12-07,winter,1,12,0,5,2,349,4659,5008
2012-12-08,winter,1,12,0,6,2,1153,4429,5582
2012-12-09,winter,1,12,0,0,2,441,2787,3228
2012-12-10,winter,1,12,0,1,2,329,4841,5170
2012-12-11,winter,1,12,0,2,2,282,5219,5501
2012-12-12,winter,1,12,0,3,2,310,5009,5319
2012-12-13,winter,1,12,0,4,1,425,5107,5532
2012-12-14,winter,1,12,0,5,1,429,5182,5611
2012-12-15,winter,1,12,0,6,1,767,4280,5047
2012-12-16,winter,1,12,0,0,2,538,3248,3786
2012-12-17,winter,1,12,0,1,2,212,4373,4585
2012-12-18,winter,1,12,0,2,1,433,5124,5557
2012-12-19,winter,1,12,0,3,1,333,4934,5267
2012-12-20,winter,1,12,0,4,2,314,3814,4128
2012-12-21,springer,1,12,0,5,2,221,3402,3623
2012-12-22,springer,1,12,0,6,1,205,1544,1749
2012-12-23,springer,1,12,0,0,1,408,1379,1787
2012-12-24,springer,1,12,0,1,2,174,746,920
2012-12-25,springer,1,12,1,2,2,440,573,1013
2012-12-26,springer,1,12,0,3,3,9,432,441
2012-12-27,springer,1,12,0,4,2,247,1867,2114
2012-12-28,springer,1,12,0,5,2,644,2451,3095
2012-12-29,springer,1,12,0,6,2,159,1182,1341
2012-12-30,springer,1,12,0,0,1,364,1432,1796
2012-12-31,springer,1,12,0,1,2,439,2290,2729
